epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,329.308,1.44427,1.25565,1.03592,0.84029,0.36826,0.61754,0.43717,1.33831,0.85501,0.97666,0.00333257,0.00333257,0.00333257
2,647.572,1.38405,0.94553,1.00566,0.85656,0.39193,0.63794,0.44925,1.31269,0.80487,0.96748,0.00653392,0.00653392,0.00653392
3,961.037,1.38983,0.89598,1.01023,0.86493,0.40621,0.64918,0.45821,1.28983,0.76852,0.96573,0.00960327,0.00960327,0.00960327
4,1271.68,1.37104,0.85731,1.00555,0.86427,0.43057,0.66168,0.46646,1.26269,0.73327,0.95616,0.009406,0.009406,0.009406
5,1583.11,1.33414,0.81571,0.99344,0.8626,0.44764,0.67053,0.47237,1.24354,0.7093,0.95014,0.009208,0.009208,0.009208
6,1892.98,1.31542,0.7953,0.98634,0.86429,0.46062,0.67803,0.47698,1.22692,0.69439,0.94476,0.00901,0.00901,0.00901
7,2203.62,1.30096,0.78104,0.98045,0.86451,0.4683,0.6825,0.47994,1.21776,0.68209,0.9412,0.008812,0.008812,0.008812
8,2513.9,1.29235,0.76996,0.97822,0.86565,0.47227,0.68501,0.48234,1.21161,0.67457,0.93901,0.008614,0.008614,0.008614
9,2823.76,1.28369,0.76077,0.97462,0.8669,0.47678,0.68779,0.48485,1.2054,0.66755,0.93653,0.008416,0.008416,0.008416
10,3133.4,1.2767,0.75344,0.97168,0.86741,0.48087,0.69025,0.48608,1.20251,0.66243,0.93524,0.008218,0.008218,0.008218
11,3444.86,1.27235,0.74836,0.97003,0.86993,0.48138,0.69146,0.48765,1.19912,0.65902,0.93388,0.00802,0.00802,0.00802
12,3754.94,1.26418,0.74104,0.96755,0.86983,0.48307,0.69238,0.48851,1.19684,0.65596,0.93272,0.007822,0.007822,0.007822
13,4064.75,1.26247,0.73942,0.96622,0.8689,0.48491,0.69307,0.48893,1.19476,0.65374,0.93145,0.007624,0.007624,0.007624
14,4376.41,1.25913,0.73487,0.96512,0.86932,0.48565,0.69362,0.48982,1.19288,0.65188,0.93065,0.007426,0.007426,0.007426
15,4689.12,1.25223,0.72977,0.9634,0.87137,0.4859,0.69446,0.49068,1.19131,0.65038,0.92999,0.007228,0.007228,0.007228
16,5000.68,1.25077,0.72755,0.96241,0.87241,0.4865,0.69513,0.49135,1.19001,0.64886,0.92945,0.00703,0.00703,0.00703
17,5310.46,1.24779,0.72456,0.96106,0.87314,0.48672,0.69551,0.49179,1.18906,0.64762,0.92909,0.006832,0.006832,0.006832
18,5621.11,1.24679,0.72363,0.96027,0.87413,0.48703,0.696,0.49238,1.18809,0.64642,0.92858,0.006634,0.006634,0.006634
19,5932.92,1.24129,0.71851,0.959,0.87434,0.48747,0.69629,0.49284,1.18705,0.64512,0.92807,0.006436,0.006436,0.006436
20,6244.55,1.23859,0.71627,0.95771,0.87505,0.48763,0.69663,0.49336,1.18588,0.64405,0.92756,0.006238,0.006238,0.006238
21,6554.64,1.23662,0.71434,0.95739,0.87538,0.48822,0.69705,0.49379,1.18472,0.64294,0.92702,0.00604,0.00604,0.00604
22,6864.17,1.23536,0.71224,0.95678,0.87603,0.4888,0.6976,0.49427,1.18367,0.64185,0.92665,0.005842,0.005842,0.005842
23,7174.3,1.23249,0.70938,0.95576,0.87688,0.48929,0.69816,0.49472,1.18288,0.64088,0.92636,0.005644,0.005644,0.005644
24,7484.87,1.23036,0.70794,0.95525,0.87695,0.48998,0.69861,0.49501,1.18185,0.63991,0.92597,0.005446,0.005446,0.005446
25,7794.87,1.2277,0.70395,0.95361,0.87695,0.49086,0.69907,0.49534,1.18112,0.63894,0.92563,0.005248,0.005248,0.005248
26,8104.5,1.22543,0.70245,0.95333,0.87746,0.49091,0.69936,0.49576,1.18024,0.63807,0.92511,0.00505,0.00505,0.00505
27,8416.04,1.22269,0.70026,0.9523,0.87873,0.49105,0.69986,0.49619,1.17921,0.63704,0.92465,0.004852,0.004852,0.004852
28,8728.03,1.22152,0.69914,0.95201,0.87972,0.49118,0.70029,0.4967,1.17841,0.63595,0.92438,0.004654,0.004654,0.004654
29,9038.36,1.21949,0.69612,0.95128,0.88048,0.49111,0.70054,0.49715,1.17762,0.63498,0.92396,0.004456,0.004456,0.004456
30,9350.31,1.21587,0.69322,0.94976,0.88109,0.49132,0.70091,0.4976,1.17658,0.63401,0.92351,0.004258,0.004258,0.004258
31,9659.94,1.21572,0.69155,0.94924,0.88178,0.49155,0.70132,0.49805,1.1755,0.63301,0.92298,0.00406,0.00406,0.00406
32,9970,1.2115,0.68852,0.94756,0.88292,0.49126,0.70158,0.49861,1.17443,0.63211,0.92239,0.003862,0.003862,0.003862
33,10281,1.20735,0.68511,0.94604,0.88428,0.49094,0.70193,0.49919,1.17327,0.63115,0.92182,0.003664,0.003664,0.003664
34,10591.5,1.20623,0.6837,0.94651,0.88546,0.49075,0.70227,0.49981,1.17243,0.6302,0.92142,0.003466,0.003466,0.003466
35,10903.8,1.20551,0.6819,0.94594,0.88704,0.49005,0.7025,0.5003,1.17152,0.62931,0.92098,0.003268,0.003268,0.003268
36,11215.3,1.20186,0.67869,0.94513,0.8882,0.4892,0.70254,0.50079,1.17078,0.62853,0.92055,0.00307,0.00307,0.00307
37,11525.6,1.19879,0.67676,0.94423,0.88994,0.4882,0.70268,0.50149,1.16986,0.62774,0.92007,0.002872,0.002872,0.002872
38,11836.4,1.19622,0.67317,0.94237,0.89151,0.48756,0.70292,0.50219,1.16872,0.62701,0.91956,0.002674,0.002674,0.002674
39,12146.9,1.19601,0.67294,0.94299,0.89272,0.4871,0.70318,0.50266,1.1677,0.62631,0.91909,0.002476,0.002476,0.002476
40,12457.6,1.19059,0.66781,0.94115,0.89414,0.48629,0.70328,0.50324,1.16683,0.62563,0.91858,0.002278,0.002278,0.002278
41,12759,1.22528,0.67333,0.94322,0.89567,0.48502,0.7032,0.50364,1.16602,0.62516,0.91824,0.00208,0.00208,0.00208
